Name,Description,Pricing,Link,LINK
ChatGPT,AI chatbot that generates human-like text responses for various use cases.,Freemium,https://chat.openai.com/,https://chat.openai.com/
10Web.io,"A website builder platform powered by AI that offers automated website creation, performance optimization, and easy integrations for WordPress users.",Freemium,https://10web.io/,https://10web.io/
Code Rabbit,Fine-tuned code reviews using auto-learnings from user feedback and configurable instructions.,Freemium,https://www.coderabbit.ai/,https://www.coderabbit.ai/
DeepFake Detector,Instantly detect if a video or voice has been tampered with a DeepFake style technique,Paid,https://deepfakedetector.ai/,https://deepfakedetector.ai/
3commas,Profitable trading bots for cryptocurrencies. Profit as you sleep with carefully designed automated bots that provide the efficiency new users require with the performance elite traders want.,Freemium,https://app.3commas.io/auth,https://app.3commas.io/auth
Mailchimp,AI tool that helps you enrich emails by gathering detailed information about the sender or recipient.,Freemium,https://mailchimp.com/,https://mailchimp.com/
Artbreeder,Create and modify artwork using AI through collaborative breeding of images.,Freemium,https://www.artbreeder.com/,https://www.artbreeder.com/
Bubble,AI-driven no-code platform for building fully functional web and mobile applications.,Freemium,https://www.bubble.io/,https://www.bubble.io/
ElevenLabs.io,Offers you wide variety of VoiceOvers across different language.,Freemium,https://elevenlabs.io/,https://elevenlabs.io/
Predis AI,"Quickly make video ads, posts & product ads ",Freemium,https://predis.ai/,https://predis.ai/
Cohesive,"create, modify, and publish without difficulty.",Freemium,https://cohesive.so/,https://cohesive.so/
ActiveCampaign,"AI-powered email marketing tool that integrates CRM functionalities, automates email sequences, and tracks engagement.",Paid,https://www.activecampaign.com/,https://www.activecampaign.com/
AdCreator,Creates dynamic ads from written content with advanced features for automated video creation.,Paid,https://www.adcreator.co/,https://www.adcreator.co/
Adobe Firefly,"Image manipulation tool using generative AI tailored for graphic designers and digital artists. It’s great for modifying the tone, color, content type, composition, and lighting of images.",Freemium,https://www.adobe.com/products/firefly.html,https://www.adobe.com/products/firefly.html
AI Lawyer,"AI-powered legal assistant offering affordable legal consultation, document automation, and advanced legal research, designed to save time for consumers, lawyers, and law students.",Freemium,https://ailawyer.pro/,https://ailawyer.pro/
Airtable,"A cloud-based platform that combines a database with a spreadsheet interface, leveraging AI for workflow automation, collaboration, and easy management of data-driven projects.",Freemium,https://airtable.com/,https://airtable.com/
Zendesk,AI-powered customer support software that automates ticket management and provides insights.,Paid,https://www.zendesk.com/,https://www.zendesk.com/
Botkeeper,AI-powered bookkeeping platform that automates financial data entry and reporting.,Paid,https://www.botkeeper.com/,https://www.botkeeper.com/
Builder,AI-based platform that allows users to build custom websites and apps with pre-built templates.,Freemium,https://www.builder.ai/,https://www.builder.ai/
Canva,"A user-friendly graphic design platform that leverages AI to help create stunning visuals, including social media posts, presentations, and marketing materials, even for beginners.",Freemium,https://www.canva.com/,https://www.canva.com/
Character.ai,A platform that lets users create and interact with AI-generated characters for text-based conversations and role-playing.,Freemium,https://character.ai/,https://character.ai/
ChatSonic,"A conversational AI assistant dedicated to the business world: real-time web searches, ultra-fast analysis of your PDFs and Pro image",Free,https://writesonic.com/chat?fpr=aixploria,https://writesonic.com/chat?fpr=aixploria
ClickUp,"AI productivity tool to manage tasks, projects, and workflows with collaboration features and automations.",Freemium,https://www.clickup.com/,https://www.clickup.com/
Clipchamp,AI-powered video editor that lets you create videos from text and images with AI-enhanced features.,Freemium,https://www.clipchamp.com/,https://www.clipchamp.com/
ContentBot,"AI tool that helps create content for blogs, email campaigns, and ad copy with ease.",Freemium,https://www.contentbot.ai/,https://www.contentbot.ai/
Copy AI,AI-powered writing tool for content creation and copywriting.,Freemium,https://www.copy.ai/,https://www.copy.ai/
Coursera,"Access over 800 specialized courses in artificial intelligence, from beginner to expert level.",Freemium,https://www.coursera.org/,https://www.coursera.org/
Craiyon,"Formerly known as DALL·E mini, it generates images from text for free, with more abstract results.",Free,https://www.craiyon.com/,https://www.craiyon.com/
Headliner,Converts podcast episodes into engaging videos for social media sharing with automatic captioning.,Freemium,https://www.headliner.app/,https://www.headliner.app/
HeyGen,This AI allows you to create Avatar of yourself or anyone. You can give it a script and it will read it aloud.,Freemium,https://www.heygen.com/,https://www.heygen.com/
Hotpot,"A creative AI platform offering tools for image generation, text-to-image, and art creation for content creators and marketers.",Freemium,hotpot.ai,hotpot.ai
HubSpot,"AI-powered CRM and marketing platform for inbound marketing, sales, and customer service.",Paid,https://www.hubspot.com/,https://www.hubspot.com/
Inflact,"AI-powered Instagram growth tool for automating tasks like following, unfollowing, commenting, and more.",Paid,https://www.inflact.com/,https://www.inflact.com/
Intacct,AI-enhanced financial management software for advanced reporting and analytics.,Paid,https://www.sageintacct.com/,https://www.sageintacct.com/
Intercom,"AI-powered messaging platform for live chat, support automation, and customer engagement.",Paid,https://www.intercom.com/,https://www.intercom.com/
Interior AI,Redesign your interior from image or sketch in few seconds.,Freemium,https://interiorai.com/,https://interiorai.com/
InVideo,"An AI-driven video creation tool that helps users make professional videos quickly, offering customizable templates, automatic scene generation, and text-to-video features.",Freemium,https://invideo.io/,https://invideo.io/
Jasper AI,"An AI-powered writing assistant designed to help create content quickly, including blog posts, social media content, and more, with the ability to generate text in various styles.",Freemium,https://www.jasper.ai/,https://www.jasper.ai/
Kafkai,Kafkai is a machine-learning algorithm that can write articles from scratch. Cutting-edge technology for marketers and SEOs.,Freemium,https://kafkai.com/,https://kafkai.com/
KickResume,AI Powered resume builder so you have better chance.,Freemium,https://www.kickresume.com/en/,https://www.kickresume.com/en/
Krea AI ,This AI help you improve and enhance your image.,Freemium,https://www.krea.ai/,https://www.krea.ai/
Livegen.AI,This AI lets you create faceless videos and edit them.,Freemium,https://www.livgen.ai/,https://www.livgen.ai/
LivePerson,AI-powered messaging platform for real-time customer engagement and support automation.,Paid,https://www.liveperson.com/,https://www.liveperson.com/
Meta AI,"Chat with the smartest open-source AI assistant. Powered by Llama 3, this tool helps you on a daily basis",Free,https://www.meta.ai/,https://www.meta.ai/
Microsoft Copilot,A versatile assistant to help you every day. Get customized solutions and useful information at any time,Free,https://copilot.microsoft.com/chats/FiJ1aVnViDgPXW73vnySe,https://copilot.microsoft.com/chats/FiJ1aVnViDgPXW73vnySe
MidJourney,A creative AI image generation tool focused on artistic and abstract designs from text inputs.,Paid,https://www.midjourney.com/,https://www.midjourney.com/
Misgif," Replace the face of a character in a GIF with your own, thanks to an AI technique called Faceswap. Also includes editing tools",Freemium,https://misgif.app/,https://misgif.app/
Namify AI,AI Tool that helps you generate name for your business.,Free,https://namify.tech/,https://namify.tech/
Notebook LM,This tool allows you to talk to documents or turn them into Podcast,Freemium,https://notebooklm.google/,https://notebooklm.google/
Notion AI,"AI assistant inside Notion for summarizing, drafting, and brainstorming ideas.",Freemium,https://www.notion.so/,https://www.notion.so/
Novae.Travel,"AI holiday planner with flights, hotels and attractions/tours bookings, budgets, driving and public transport directions",Free,https://chat.novae.travel/,https://chat.novae.travel/
Novel AI,"AI-powered writing tool that assists with creative writing by generating text, stories, and enhancing narratives.",Freemium,novelai.net,novelai.net
Oasis AI Game,"A fully AI-generated video game running at 20 FPS. Explore an auto-generated world, jump, manage your inventory",Free,https://oasis.decart.ai/welcome,https://oasis.decart.ai/welcome
Open Magic,This AI powered tool helps you create visual effects from literally anything.,Freemium,https://omagic.ai/try/iceland,https://omagic.ai/try/iceland
OpusClip,"OpusClip is a great tool for breaking down longer videos into short, shareable clips for social media. Its best at finding best part of the video",Freemium,https://www.opus.pro/,https://www.opus.pro/
PageGenie,PageGenie converts your prompt into a complete landing page.Spend less time looking and get quick answers from all of your material.,Paid,https://pagegenie.ai/,https://pagegenie.ai/
Paraphraser.io,Paraphraser.io is a free AI-driven tool designed to enhance text clarity and uniqueness. ,Freemium,https://www.paraphraser.io/,https://www.paraphraser.io/
PathAI,AI platform that helps pathologists make more accurate diagnoses with medical images.,Paid,https://www.pathai.com/,https://www.pathai.com/
Perplexity AI,"AI powered search engine that provides accurate, summarized answers to complex questions.",Freemium,https://www.perplexity.ai/,https://www.perplexity.ai/
Pictory,AI-driven platform that transforms blog posts and scripts into videos with automated voiceovers.,Freemium,https://www.pictory.ai/,https://www.pictory.ai/
Pinokio ,This AI Tool allows you to install many free AI Tools with one click.,Freemium,https://www.pinokio.ai/,https://www.pinokio.ai/
Playermaker,"Give your child the best tools to own their soccer journey. Measure progress, learn from insights, and improve their skills over time!",Freemium,https://www.playermaker.com/,https://www.playermaker.com/
Playground AI,"A platform for AI image generation, allowing users to create unique artworks from text prompts using advanced machine learning models.",Freemium,playgroundai.com,playgroundai.com
Podcastle,"AI tool for podcasters that offers high-quality audio enhancement, editing, and one-click publishing.",Freemium,https://www.podcastle.ai/,https://www.podcastle.ai/
PoliteMail,"AI email tool for tracking email engagement, analytics, and creating customized email campaigns for businesses.",Paid,https://www.politemail.com/,https://www.politemail.com/
Privee AI, Chat via private message with absolutely fantastic AI characters. Possibility to do group sessions and create incredible stories ,Freemium,https://www.priveeai.com/,https://www.priveeai.com/
QuickBooks AI,"Accounting software with AI features for automating tax, invoicing, and reports.",Paid,https://quickbooks.intuit.com/,https://quickbooks.intuit.com/
QuillBot,Paraphrasing tool that helps rephrase and improve writing.,Freemium,https://www.quillbot.com/,https://www.quillbot.com/
Replit Agent,An AI assistant for developers that creates applications from text descriptions,Paid,https://replit.com/,https://replit.com/
Reply.io,"AI-driven email outreach tool for automating follow-ups, sequences, and email scheduling for sales teams.",Paid,https://www.reply.io/,https://www.reply.io/
Repurpose,"Repurpose your content from YouTube, TikTok, Instagram, Facebook, Zoom, Google Drive, Dropbox, and Audio Podcasts into unlimited pieces optimized for each channel. Publish or schedule to you chosen channels.",Freemium,https://repurpose.io/,https://repurpose.io/
Riverside.fm,"High-quality remote recording platform with AI-enhanced features for easy editing, transcriptions, and more.",Paid,https://www.riverside.fm/,https://www.riverside.fm/
Runway ML,AI tool for creative professionals offering video editing and machine learning models.,Freemium,https://runwayml.com/,https://runwayml.com/
Sakura AI,Create your own unique scenario with your favorite characters.,Freemium,https://www.sakura.fm/,https://www.sakura.fm/
Salesforce,"Salesforce provides many functionalities like natural language processing, predictive analysis for sales, and CRM to help organizations automate processes and make faster decisions. You can bring conversational AI to any workflow, user, and department with Einstein.",Paid,https://www.salesforce.com/in/,https://www.salesforce.com/in/
Salesloft,AI chatbot and messaging platform that automates customer support and sales inquiries.,Paid,https://www.drift.com/,https://www.drift.com/
Screenshot To Code,Convert any screenshot or design to clean code (with support for most frameworks),Freemium,https://screenshottocode.com/,https://screenshottocode.com/
Scribe AI,Converts recorded steps into written instructions for better documentation.,Freemium,https://scribehow.com/,https://scribehow.com/
Seamless.ai,"Sales leads software that utilizes AI-powered search to find and verify contact information, helping sales teams generate accurate and high-quality leads to grow their business.",Paid,https://seamless.ai/,https://seamless.ai/
Shutterstock AI Image Generator,Instantly create stunning image from just your text and brain. Its absolutely free. Only one in the industry.,Free,https://www.shutterstock.com/ai-image-generator/,https://www.shutterstock.com/ai-image-generator/
Signal Stack,"Transform your orders into notifications instantly. No coding is necessary. Any alert from any trading platform may be quickly, easily, and simply converted into an executed order",Freemium,https://signalstack.com/,https://signalstack.com/
Tailwind,"AI-driven Instagram marketing tool for scheduling posts, tracking analytics, and creating engaging stories.",Paid,https://www.tailwindapp.com/,https://www.tailwindapp.com/
TaxGPT,"AI tax assistant for tax professionals and businesses. Research taxes, get answers, draft memos, analyze data, and boost accountants' productivity 10x.",Paid,https://www.taxgpt.com/,https://www.taxgpt.com/
ThemAIGuys,E-commerce SaaS AI solution designed to supercharge productivity and elevate profits for print-on-demand and ecommerce,Paid,www.themaiguys.com/,www.themaiguys.com/
Todoist,AI-powered task management and to-do list tool with smart scheduling and project organization features.,Freemium,https://www.todoist.com/,https://www.todoist.com/
Trade Ideas,"The Must Have Stock Scanner for All Active Traders. A whole new visual perspective on scanning the market is provided by the Stock Racing technology. Greetings from the future of stock scanning, which Trade Ideas is the only business to provide.",Freemium,https://www.trade-ideas.com/,https://www.trade-ideas.com/
Travelport,"AI-powered platform for travel agents, offering flight, hotel, and car rental bookings with predictive pricing models.",Paid,https://www.travelport.com/,https://www.travelport.com/
Trello,"AI-based tool to organize tasks, assignments, and deadlines.",Freemium,https://www.trello.com/,https://www.trello.com/
Triller,"AI-powered video creation tool focused on music videos, perfect for TikTok content creators.",Freemium,https://www.triller.co/,https://www.triller.co/
Tripplanner AI,"Build, personalize, and optimize your itineraries with our free AI trip planner. Designed for vacations, workations, and everyday adventures.",Free,https://tripplanner.ai/,https://tripplanner.ai/
TubeBuddy,"AI-powered YouTube management and optimization tool that helps with SEO, keyword research, and video analytics.",Freemium,https://www.tubebuddy.com/,https://www.tubebuddy.com/
Tweet Hunter (for X),"Get daily personalized tweet suggestions, re-write tweets you like, get tweet & thread ideas.",Freemium,https://tweethunter.io/,https://tweethunter.io/
Uizard," AI-powered app design tool that helps you create professional-looking mockups, prototypes, and high-fidelity designs for both mobile and web apps without writing any code.",Freemium,https://uizard.io/,https://uizard.io/
Undetectable AI,"Make your AI-generated texts undetectable by humanizing them. Ideal for students, SEO copywriters, journalists, etc.",Freemium,https://undetectable.ai/,https://undetectable.ai/
Validator AI,"Enter your startup idea, and our AI will validate it, offering insights on marketing, customer development, and competitive analysis.",Freemium,https://validatorai.com/,https://validatorai.com/
Vectra AI,AI-driven network detection and response platform that identifies cyber threats.,Paid,https://www.vectra.ai/,https://www.vectra.ai/
Voice AI,"Realtime voice modifier for gaming or video chatting like Minecraft, Whatsapp etc.",Freemium,https://voice.ai/,https://voice.ai/
Webflow,"A web design platform that allows users to build responsive websites with AI-powered tools for design, content management, and automation without needing to write code.",Freemium,https://webflow.com/,https://webflow.com/
What Beats Rock,Play against an AI in this game inspired by Rock-Paper-Scissors. Anticipate your opponent's move to score points,Free,https://www.whatbeatsrock.com/,https://www.whatbeatsrock.com/
WriteSonic,"AI writing assistant for creating high-quality email copies, subject lines, and personalized responses.",Freemium,https://www.writesonic.com/,https://www.writesonic.com/
Xero,Cloud-based accounting software with AI-powered features for small businesses.,Paid,https://www.xero.com/,https://www.xero.com/
XOR,"AI recruitment chatbot that handles applicant questions, screening, and interview scheduling.",Freemium,https://www.xor.ai/,https://www.xor.ai/
Zapier Agent,"AI workspace where you can teach AI agents to work across thousands of apps. But the interface is a chatbot, which means that creating your own AI agent is as simple as using ChatGPT.",Freemium,https://zapier.com/agents,https://zapier.com/agents
Zoho Desk,"AI-powered helpdesk with ticket management, automation, and multi-channel support.",Freemium,http://zoho.com/desk,http://zoho.com/desk
Zoho Mail,"AI-powered email service that helps with email management, collaboration, and team communication in businesses.",Freemium,https://www.zoho.com/,https://www.zoho.com/
Elementor AI, Elementor is the best wordpress theme builder with the most possible interactions and tools available. Your all-in-one solution for wordpress websites.,Paid,https://elementor.com/,https://elementor.com/
Codacy,"The platform that integrates with GitHub, Bitbucket, and GitLab, enabling developers to find and fix issues directly from their repositories.",Freemium,https://www.codacy.com/,https://www.codacy.com/
FeedHive,"Create, schedule, publish, and easily manage your social media content at scale with FeedHive",Freemium,https://www.feedhive.com/,https://www.feedhive.com/
Flick,"Your AI Social Media Marketing assistant that helps you on every stage from building your strategy, planning posts, designing graphics, writing captions, finding hashtags, and turning your media into ready-to-share content.",Freemium,https://www.flick.social/ai-social-media-manager,https://www.flick.social/ai-social-media-manager
CapCut,"Video editing app powered by AI, offering automatic video editing, effects, and transitions for easy content creation.",Freemium,capcut.com,capcut.com
Taplio,"Enter keywords, and Taplio curates thousands of the most successful posts on any topic you choose.",Freemium,https://taplio.com/,https://taplio.com/
Curipod,Customize high-quality lessons to topics students care about with the power of AI,Freemium,https://curipod.com/,https://curipod.com/
Synthesia,AI-generated video platform for creating personalized videos at scale.,Paid,https://www.synthesia.io/,https://www.synthesia.io/
Systeme.io,"The worlds best all in one marketing platform. The platform offers features such as website building, course creation, and project management, all in one place.",Freemium,https://systeme.io/,https://systeme.io/
Publer ,"Manage, automate, and track your social media success with Publer.",Freemium,https://publer.com/,https://publer.com/
Make,Realize your business’s full potential with Make’s intuitive no-code development platform.,Freemium,https://www.make.com/en,https://www.make.com/en
Quizizz,Create and deliver bell-to-bell curriculum resources that meet the needs of every student.,Freemium,https://quizizz.com/?lng=en,https://quizizz.com/?lng=en
Namelix," Your AI Business Name Generator. Get unique, catchy names with customizable filters. Save favorites for smarter suggestions over time.",Freemium,https://namelix.com/,https://namelix.com/
DeepSeek V3,"This CHATGPT Rival can have access to Internet, so you have more than chat assistant",Free,https://www.deepseek.com/,https://www.deepseek.com/
Workato,Best for workbot automation and when you need to embed automation integrally in your product,Freemium,https://www.workato.com/,https://www.workato.com/
Integrately,Integrate over 1200 apps with built in automation ready to start in just 1 click,Freemium,https://integrately.com/,https://integrately.com/
Vyond,Generate effective videos from simple prompts in multiple styles. Edit or update as needed using Vyond’s instant editor or powerful studio.,Freemium,https://www.vyond.com/,https://www.vyond.com/
Stampli,"Uses AI to extract data from invoices and identify potential fraud. Only Stampli  is built by AP experts for AP first, creating a breakthrough  in team productivity across the entire invoice lifecycle.",Freemium,https://www.stampli.com/,https://www.stampli.com/
Aaptiv,Fitness app that uses AI to recommend workout classes based on user preferences.,Paid,https://www.aaptiv.com/,https://www.aaptiv.com/
Ada,"AI-powered chatbot designed to automate support, handle FAQs, and engage customers.",Freemium,https://www.ada.support/,https://www.ada.support/
Adalo,AI-powered no-code platform to build custom web and mobile apps without programming.,Freemium,https://www.adalo.com/,https://www.adalo.com/
Adext,AI-driven ad management platform that optimizes ads for better ROI and engagement.,Paid,https://www.adext.ai/,https://www.adext.ai/
AdsDog," AI-powered video creation tool that simplifies the process of producing high-quality, professional videos featuring digital human avatars.",Freemium,https://adsdog.ai/,https://adsdog.ai/
Agent.ai,"Find, connect and hire AI agents to perform your tasks, or create your own AI Agents.",Free,https://agent.ai/,https://agent.ai/
AI Dungeon,AI-powered interactive storytelling platform where you can create stories.,Freemium,https://play.aidungeon.io/,https://play.aidungeon.io/
AI Expression Editor,"AI powered tool help you change expression on any face, portrait etc.",Free,https://huggingface.co/spaces/fffiloni/expression-editor,https://huggingface.co/spaces/fffiloni/expression-editor
AI HairStyles,"The right hairstyle can make us feel amazing. With our hairstyle AI, you can virtually try on different styles and colors to find the perfect look for you.",Paid,https://aihairstyles.com/,https://aihairstyles.com/
AI Logo Reveals,"Easily animate your logo with an intuitive, intelligent tool. Get professional 3D animations with the help of predefined templates",Freemium,https://stockimg.ai/,https://stockimg.ai/
AI Picasso,"AI-driven tool that generates art, illustrations, and design content perfect for Instagram posts and ads.",Paid,https://aipicasso.app/en/,https://aipicasso.app/en/
AI Social Bio,An AI that creates your social network bio for free,Free,https://aisocialbio.com/,https://aisocialbio.com/
AI Studios by DeepBrain,"Uses AI to generate video presentations from text, commonly used for AI avatars and educational videos.",Paid,https://www.deepbrain.io/,https://www.deepbrain.io/
Aidoc,AI-powered radiology platform that aids doctors in detecting medical conditions from imaging.,Paid,https://www.aidoc.com/,https://www.aidoc.com/
AimReply,AImReply is an AI-powered email writer and assistant designed to enhance email productivity.,Freemium,https://aimreply.com/,https://aimreply.com/
AIVA,AIVA (Artificial Intelligence Virtual Artist) is an AI-powered music composition tool ideal for composers and filmmakers requiring original music.,Freemium,https://www.aiva.ai/,https://www.aiva.ai/
Algolia,AI-driven search and discovery platform that helps customers find products faster and more accurately.,Paid,https://www.algolia.com/,https://www.algolia.com/
Alitu,AI-powered podcast production tool that simplifies editing and mixing to create polished podcasts easily.,Paid,https://www.alitu.com/,https://www.alitu.com/
Alli AI,"With AlliAI you can work with any CMS and no coding is required. Instead, you can deploy code and change content instantly with faster, cheaper, and better SEO automation.",Paid,https://www.alliai.com/,https://www.alliai.com/
Animated Drawings,Open-Source AI that allows a drawing to come to life and animate in a very surprising way,Freemium,https://sketch.metademolab.com/,https://sketch.metademolab.com/
AnimateDiff,"AnimateDiff lets you easily create videos using Stable Diffusion. Just write a prompt, select a model, and activate AnimateDiff!",Freemium,https://www.animatediff.org/,https://www.animatediff.org/
Animoto,"AI video generator that creates videos from text and images, designed for marketing and social media.",Freemium,https://www.animoto.com/,https://www.animoto.com/
Aomni AI, An autonomous agent specialized in data extraction that increases Auto-GPT's capabilities tenfold,Free,https://www.aomni.com/,https://www.aomni.com/
Appy Pie,AI-powered no-code platform for creating mobile apps with drag-and-drop features.,Paid,https://www.appypie.com/,https://www.appypie.com/
Arc Search, Arc Search brings AI features into your search experience,Free,https://arc.net/search,https://arc.net/search
Arctic Wolf,AI-powered cybersecurity solution that prevents malware and advanced threats.,Paid,https://www.cylance.com/,https://www.cylance.com/
Articoolo,"AI-powered tool for generating unique and relevant articles, summaries, and blog posts.",Freemium,https://www.articoolo.com/,https://www.articoolo.com/
Ask Layla,Find an AI itinerary for your next trip now,Free,https://layla.ai/,https://layla.ai/
AskCodi,AskCodi is an AI-driven coding assistant designed to enhance your efficiency and workflow with its Codi Chat.,Freemium,https://www.askcodi.com/,https://www.askcodi.com/
Audext,Free AI tool that offers podcast transcription with export options and timestamps for easier editing.,Free,https://www.audext.com/,https://www.audext.com/
Looka,A powerful Logo generator from just your text.,Freemium,https://looka.com/,https://looka.com/
AuraticAI,AI-powered platform designed for seamless content creation and revenue generation in just minutes.,Freemium,https://app.auraticai.com/,https://app.auraticai.com/
AVClabs,AVCLabs offers an array of AI-driven multimedia solutions for video and audio editing. ,Freemium,https://www.avclabs.com/,https://www.avclabs.com/
Backyard AI,Create immersive AI characters and chat with them. Generate text from number of LLM models.,Free,https://backyard.ai/,https://backyard.ai/
BambooHR,All-in-one HR software with AI-powered features for employee management and tracking.,Paid,https://www.bamboohr.com/,https://www.bamboohr.com/
Bazaarvoice,"An AI-powered e-commerce platform that focuses on product reviews and ratings, helping businesses gather and display customer feedback to build trust and drive sales.",Paid,https://www.bazaarvoice.com/,https://www.bazaarvoice.com/
Beautiful.ai," simplifies the process of putting together a beautiful slide deck, with all the layouts and styles figured out.",Freemium,https://tome.app/,https://tome.app/
Bee Agent Framework,"Open-source framework for building, deploying, and serving powerful multi-agent workflows at scale.",Free,https://i-am-bee.github.io/bee-agent-framework/#/,https://i-am-bee.github.io/bee-agent-framework/#/
BeforesunsetAI,An AI daily planner that helps busy professionals and teams save time while maximizing their focus.,Freemium,https://www.beforesunset.ai/,https://www.beforesunset.ai/
Frase,AI-powered search and content creation tool for marketers and researchers.,Paid,https://www.frase.io/,https://www.frase.io/
Biteable,"AI video creation tool for making explainer, promotional, and social videos from text and media.",Freemium,https://www.biteable.com/,https://www.biteable.com/
Bitsgap,"All the top algorithmic orders, portfolio management, and free Demo mode in one location for cryptocurrency trading.",Paid,https://bitsgap.com/,https://bitsgap.com/
Blabla AI,"Manage all your comments more easily and effectively: instant responses, filtering of negative comments, improved engagement",Freemium,https://blabla.ai/,https://blabla.ai/
BlackBox,"AI code tool that helps developers write code, find optimal snippets, and build products faster",Freemium,https://www.blackbox.ai/,https://www.blackbox.ai/
Blush AI,AI-powered dating simulator that helps you learn and practice relationship skills in a safe and fun environment.,Freemium,https://blush.ai/,https://blush.ai/
Bolt,"Create, run and deploy full stack web application just from text.",Freemium,https://bolt.new/?rid=2ba41v,https://bolt.new/?rid=2ba41v
Booke AI,"Booke AI automates reconciliation and categorization with AI-driven RPA and Generative AI, saving you hours of manual work.",Paid,https://booke.ai/,https://booke.ai/
Boomerang,"AI-powered email tool for scheduling, reminders, and follow-up automation, with a built-in email assistant.",Freemium,https://www.boomerangapp.com/,https://www.boomerangapp.com/
Botika,"Generate fashion photos for Brands. Botika is perfect for fashion brands that value quality, speed, and flexibility. Bring your products to life at a fraction of the cost. ",Freemium,https://botika.io/,https://botika.io/
